Obs#,Time,Date,configName,configAuthor,remark,Row,Pot,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,,,,,,,,,,,,,,,,,
11,11:42:40,5/28/2024,TIP24,Zach Peagler,,1,11,,0.619811,2.920218,0.51129,6.119947,2.112424,1.947034,3.251629,1.139205,19.89678,21.586905,33.228458,0.441786,PSF-01133_20240528114240,0,0,0,139.857895,417.131409,0.664715,0.5,0.8,50.214104,75.7,69.77,22.83,25.38,97.86,156.5,156,0.3,189,3.694,11:41:17,5/28/2024,-1.26,0,0.21,0.299,0.43,0.457,-1.085,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.520112,2.443305,1.687989,0.952796,0.297459,0.031194,0.179954,0.275408,139.857895,0.000353,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114240,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
12,11:42:49,5/28/2024,TIP24,Zach Peagler,,1,12,,0.655468,2.919871,0.535301,7.092709,2.158889,1.967258,3.418482,1.259593,20.104273,22.062626,34.934959,0.441786,PSF-01133_20240528114249,0,0,0,128.535034,413.053406,0.688817,0.5,0.8,55.309704,77.12,70.27,22.88,26.22,97.85,156.5,147.1,6,201,3.693,11:41:17,5/28/2024,-1.26,0.103,0.068,0.292,-1.727,-0.044,-1.324,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.520794,2.44509,1.687617,0.929404,0.29683,0.040505,0.181214,0.285969,1.166224,0.000358,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114249,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
13,11:43:28,5/28/2024,TIP24,Zach Peagler,,2,1,,0.437534,2.921839,0.380548,4.276433,2.05517,1.939664,3.12587,1.0707,19.818932,20.999136,31.939241,0.441786,PSF-01133_20240528114328,0,0,0,139.996292,402.498718,0.652182,0.5,0.8,110.987267,72.4,68.33,23.11,24.71,97.87,156.7,154.8,1.2,425,3.694,11:41:17,5/28/2024,-1.26,0.01,0.046,0.122,0.901,0.432,0.752,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.518039,2.439075,1.689732,0.949687,0.294116,0.020257,0.186611,0.485623,139.996292,0.000351,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114328,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
14,11:44:11,5/28/2024,TIP24,Zach Peagler,,2,2,,0.26768,2.922871,0.245222,3.109052,2.005923,1.921992,3.213407,1.207484,19.64258,20.500347,32.840721,0.441786,PSF-01133_20240528114411,0,0,0,141.884201,418.942108,0.661327,0.5,0.8,109.64563,69.56,66.65,23.37,25.18,97.85,156.8,154.9,1.2,414,3.691,11:41:17,5/28/2024,-1.26,0.105,0.062,0.113,1.196,0.654,-1.861,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.515636,2.435423,1.690846,0.949962,0.291063,0.022639,0.192231,0.475889,141.884201,0.000356,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114411,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
15,11:44:20,5/28/2024,TIP24,Zach Peagler,,2,3,,0.28571,2.920973,0.260253,3.334948,2.026217,1.936071,3.246292,1.220075,19.786367,20.707647,33.17664,0.441786,PSF-01133_20240528114420,0,0,0,135.850311,410.849701,0.669343,0.5,0.8,115.786453,70.05,66.93,23.42,25.35,97.85,156.6,155.7,0.6,432,3.691,11:41:17,5/28/2024,-1.26,-0.009,0.105,-9999,0.913,0.648,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.516018,2.436034,1.6888,0.952076,0.290472,0.024047,0.193192,0.491858,135.850311,0.00035,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114420,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
16,11:44:27,5/28/2024,TIP24,Zach Peagler,,2,4,,0.263927,2.920147,0.24205,3.121989,2.035603,1.951165,3.263511,1.227908,19.940321,20.803249,33.3521,0.441786,PSF-01133_20240528114427,0,0,0,142.557617,418.214325,0.659128,0.5,0.8,112.664757,70.2,67.29,23.46,25.44,97.85,156.5,155.4,0.7,427,3.691,11:41:17,5/28/2024,-1.26,-0.026,0.078,-9999,1.051,0.761,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.5165,2.436215,1.687913,0.951082,0.28999,0.024608,0.193948,0.487293,146.741516,0.000349,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114427,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
17,11:44:42,5/28/2024,TIP24,Zach Peagler,,2,5,,0.27689,2.922535,0.252927,3.261384,2.041001,1.952966,3.268476,1.227475,19.959185,20.858889,33.403603,0.441786,PSF-01133_20240528114442,0,0,0,137.953156,390.773163,0.646974,0.5,0.8,119.512329,69.98,66.96,23.56,25.46,97.85,156.8,155.6,0.7,462,3.688,11:41:17,5/28/2024,-1.26,0.007,0.159,0.16,21.899,11.096,5.062,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.51603,2.435924,1.690484,0.95182,0.288894,0.023815,0.195847,0.517936,137.953156,0.000359,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114442,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
18,11:44:53,5/28/2024,TIP24,Zach Peagler,,2,6,,0.280216,2.920497,0.255684,3.389218,2.055221,1.963598,3.316696,1.261475,20.067017,21.003359,33.895023,0.441786,PSF-01133_20240528114453,0,0,0,141.166809,425.290344,0.66807,0.5,0.8,112.57666,70.21,67.08,23.62,25.71,97.85,156.6,155.6,0.6,421,3.688,11:41:17,5/28/2024,-1.26,0.024,0.174,0.193,0.389,0.206,-0.987,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.516171,2.436196,1.688289,0.951689,0.288174,0.02598,0.197047,0.481918,141.166809,0.000355,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114453,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
19,11:45:03,5/28/2024,TIP24,Zach Peagler,,2,7,,0.236538,2.920473,0.218815,3.175794,2.053005,1.967151,3.433332,1.380327,20.103949,20.981361,35.088066,0.441786,PSF-01133_20240528114503,0,0,0,145.69223,423.977509,0.656368,0.5,0.8,108.909927,69.87,66.95,23.68,26.29,97.85,156.5,155.4,0.7,415,3.659,11:41:17,5/28/2024,-1.26,0.073,0.045,0.102,0.872,0.499,-1.991,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.515979,2.435759,1.688264,0.951227,0.287464,0.032127,0.198232,0.476182,145.69223,0.000355,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114503,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
20,11:45:10,5/28/2024,TIP24,Zach Peagler,,2,8,,0.315136,2.923431,0.284471,3.846246,2.088935,1.985231,3.375073,1.286138,20.287317,21.347084,34.490284,0.441786,PSF-01133_20240528114510,0,0,0,144.938354,396.675476,0.634617,0.5,0.8,111.982376,70.92,67.4,23.72,26,97.86,156.9,155.3,1,441,3.659,11:41:17,5/28/2024,-1.26,0.149,0.073,-9999,0.708,0.343,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.516595,2.437082,1.691452,0.950903,0.286995,0.028248,0.198971,0.499569,144.938354,0.000352,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114510,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
21,11:45:18,5/28/2024,TIP24,Zach Peagler,,2,9,,0.278071,2.921294,0.253903,3.169733,2.073144,1.98752,3.261499,1.188354,20.310404,21.185392,33.329147,0.441786,PSF-01133_20240528114518,0,0,0,130.612854,404.41275,0.677031,0.5,0.8,97.854446,70.19,67.29,23.77,25.43,97.86,156.7,155.8,0.5,361,3.688,11:41:17,5/28/2024,-1.26,0.015,0,0.086,0.137,65.207,97.401,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.516434,2.436147,1.689146,0.952255,0.28647,0.020968,0.19983,0.428661,130.612854,0.000356,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114518,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
22,11:45:25,5/28/2024,TIP24,Zach Peagler,,2,10,,0.277323,2.92203,0.253285,3.475739,2.080437,1.986608,3.385793,1.305356,20.301086,21.259914,34.599304,0.441786,PSF-01133_20240528114525,0,0,0,147.243622,425.366516,0.653843,0.5,0.8,106.146927,70.26,67.09,23.81,26.06,97.86,156.7,155.1,1.1,406,3.688,11:41:17,5/28/2024,-1.26,0.005,0.079,-9999,1.392,-0.277,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.516146,2.436228,1.689939,0.950367,0.285992,0.027866,0.200627,0.468219,147.243622,0.000353,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114525,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
23,11:45:34,5/28/2024,TIP24,Zach Peagler,,2,11,,0.27187,2.921188,0.248722,2.669705,2.05597,1.983832,3.07882,1.02285,20.27199,21.009144,31.461239,0.441786,PSF-01133_20240528114534,0,0,0,136.483673,431.132904,0.68343,0.5,0.8,102.042809,69.23,66.8,23.86,24.46,97.86,156.6,155.4,0.8,373,3.686,11:41:17,5/28/2024,-1.26,0.104,0.063,0.033,0.696,0.009,-0.169,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.515728,2.434908,1.689032,0.951315,0.285431,0.008724,0.201599,0.439268,136.483673,0.000359,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114534,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
24,11:45:39,5/28/2024,TIP24,Zach Peagler,,2,12,,0.213702,2.921391,0.199135,2.796678,2.059274,1.983716,3.395394,1.336119,20.269979,21.042042,34.694752,0.441786,PSF-01133_20240528114539,0,0,0,142.223236,419.240356,0.66076,0.5,0.8,102.967102,69.23,66.69,23.89,26.11,97.86,156.7,155.6,0.7,390,3.686,11:41:17,5/28/2024,-1.26,0.029,0.057,-9999,0.026,-2.155,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.515564,2.4349,1.68925,0.951652,0.28512,0.027545,0.202145,0.453754,142.223236,0.000349,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114539,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
25,11:45:52,5/28/2024,TIP24,Zach Peagler,,3,1,,0.246143,2.921124,0.227014,3.112021,2.070898,1.98682,3.375044,1.304146,20.303299,21.162493,34.489552,0.441786,PSF-01133_20240528114552,0,0,0,127.018692,405.16983,0.686505,0.5,0.8,77.051231,69.32,66.51,23.96,26,97.86,156.6,155,1,281,3.685,11:41:17,5/28/2024,-1.26,-0.053,0.002,0.072,1.292,0.851,-0.676,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.515297,2.435008,1.688963,0.95024,0.284315,0.025534,0.203675,0.356918,126.48761,0.000352,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114552,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
26,11:46:03,5/28/2024,TIP24,Zach Peagler,,3,2,,0.345852,2.921991,0.309249,3.762267,2.09218,1.99062,3.250263,1.158083,20.34094,21.378716,33.21246,0.441786,PSF-01133_20240528114603,0,0,0,134.499542,421.219818,0.68069,0.5,0.8,43.140575,69.8,66.41,24.01,25.37,97.86,156.7,155.5,0.8,158,3.685,11:41:17,5/28/2024,-1.26,-0.048,-0.057,0.035,0.471,0.306,-0.243,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.51515,2.435605,1.689897,0.951574,0.28368,0.017467,0.204823,0.248387,134.499542,0.000362,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114603,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
27,11:46:12,5/28/2024,TIP24,Zach Peagler,,3,3,,0.188574,2.920947,0.177138,2.228082,2.057984,1.997769,3.255468,1.197484,20.414616,21.029932,33.266666,0.441786,PSF-01133_20240528114612,0,0,0,123.229263,394.168488,0.687369,0.5,0.8,37.669231,68.47,66.46,24.06,25.4,97.86,156.6,155.2,0.9,137,3.686,11:41:17,5/28/2024,-1.26,-0.002,0.019,0.056,-0.129,0.553,0.283,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.515213,2.433902,1.688772,0.950576,0.283154,0.017244,0.205783,0.229338,123.229263,0.000358,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114612,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
28,11:46:19,5/28/2024,TIP24,Zach Peagler,,3,4,,0.228473,2.921527,0.211901,2.742603,2.061018,1.986932,3.29299,1.231972,20.303247,21.060286,33.649063,0.441786,PSF-01133_20240528114619,0,0,0,132.923843,401.296722,0.668764,0.5,0.8,40.971867,68.4,65.94,24.1,25.59,97.86,156.7,155.4,0.8,153,3.685,11:41:17,5/28/2024,-1.26,0.055,0.002,-9999,0.282,0.127,-9999,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.514475,2.43381,1.689397,0.951273,0.282693,0.019022,0.206617,0.243694,132.923843,0.000358,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114619,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
29,11:46:27,5/28/2024,TIP24,Zach Peagler,,3,5,,0.207939,2.920649,0.194119,2.445599,2.052283,1.986171,3.25174,1.199457,20.296356,20.971943,33.229,0.441786,PSF-01133_20240528114627,0,0,0,131.737595,405.266418,0.674936,0.5,0.8,36.943745,67.96,65.77,24.14,25.38,97.86,156.6,155.4,0.7,137,3.685,11:41:17,5/28/2024,-1.26,-0.015,0.001,-0.026,0.063,0.583,-1.295,0,150,-9999,-9999,0,rectangular,7000,500,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.514223,2.433237,1.688453,0.95125,0.282266,0.016112,0.207388,0.229193,131.737595,0.00036,2.408414,0.000005,1,2.331839,0,1,0.600047,0.602054,0.107606,0,PSF-01133_20240528114627,PFA-00959,PSA-00959,PSF-01133,RHS-01583,2.0.0,2024-05-28T14:47:30.417Z,,,,,,,,,,,,,,,,,
